Project:,Great Smoky Mountains Postcards Supplement,Lead:,Anne Bridges,Metadata creator:,TBD,Date:,7/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scan_note,local_note,adminDB object identifer,adminDB file identifier (side 1),adminDB file identifier (side 2),identifier_local,title,abstract,abstract 2,date_text,collection,collection_identifier,shelf_locator,extent,form,language,name,name_role,name 2,name_role 2,name 3,name_role 3,publisher,place_of_origin,subject_geographic_lc,subject_geographic_lc 2,subject_geographic_lc 3,subject_geographic_lc 4,subject_geographic_dots,subject_geographic_dots 2,subject_geographic_dots 3,subject_geographic_dots 4,subject_geographic_dots 5,subject_name,subject_name 2,subject_topical_lc,subject_topical_lc 2,subject_topical_lc 3,subject_topical_lc 4,subject_topical_dots,subject_topical_dots 2,subject_topical_dots 3,subject_topical_dots 4,project_title,repository,rights,public_note
Any scan notes for Seth and his team. Will not be put into resulting metadata.,Any notes for the metadata librarian or digital initiatives.,Should be the AdminDB identifier for the object (not the files).,This should relate to an admindb identifier for the object. Will become filename.,This should relate to an admindb identifier for the object. Will become filename.,"Use this element if there are existing, local identifiers you wish to keep. Please do not create additional identifiers besides these just for the digitization process.","Title of object. Transcribe as found, construct a descriptive title if no title exists.","Content-specific note. For other notes, use public_note. Handwritten Notes",Printed Text,"Date of creation. Use description if date is unclear/uncertain (i.e. approximate 1890, 1890?, or [1890] if the date is inferred). If there are no dates, use 'Unknown'.",Title of the archival/physical collection the object belongs to. Take title from SCOUT if exists.,SCOUT identifier for the archival/physical collection.,"Enter box/folder, call number or other locational information for the physical object. Optional.",Enter information about the physical extent of an item including dimensions. Specify the unit of measurement. Optional.,Choose from drop-down.,"Code 'eng' for English, 'zxx' for objects with no linguistic content.","The name of an entity (person, organization, governmental body) that had something to do with the creation of the object.",The role of the person in the name column. Choose from drop-down.,Second name of entity involved with creation/production of object. Put in to show how to format multiple name columns.,The role of name 2. Choose from drop-down.,Third name of entity involved with creation/production of object. Put in to show how to format multiple name columns.,The role of name 3. Choose from drop-down.,"Enter the name of the publisher as found. If contains place of publication, put into place_of_origin.","Transcribe as found. This is where the object was created/published, not the place displayed in the object. The latter goes into subject_geographic.","A geographic place represented/depicted in the content of the object. For where the object originated, use place_of_origin.",Repeated subject geographic field to show how to repeat.,Repeated subject geographic field to show how to repeat.,Repeated subject geographic field to show how to repeat.,"A geographic place represented/depicted in the content of the object. For where the object originated, use place_of_origin.",Repeated subject geographic field to show how to repeat.,Repeated subject geographic field to show how to repeat.,Repeated subject geographic field to show how to repeat.,Repeated subject geographic field to show how to repeat.,"A named entity (person or organization) represented/depicted in the content of the object. For an entity that created/produced the object, use name.",Repeated subject name field.,"Any topical subjects represented by the content of the object. Avoid using terms that represent what the object is, not what the object is about.",Repeated subject topical field.,Repeated subject topical field.,Repeated subject topical field.,"Any topical subjects represented by the content of the object. Avoid using terms that represent what the object is, not what the object is about.",Repeated subject topical field.,Repeated subject topical field.,Repeated subject topical field.,The title of the digital project/collection.,Used the LCNAF form of the repository (the place the physical item is held) name.,Choose from drop down.,Any non-content specific notes about the object (i.e. notes that don't fit into abstract).
,,,0012_003786_000001_0001,0012_003786_000001_0002,,"Night View of Gatlinburg, Tennessee Showing Mount LeConte in the Background (GS-262)",Unused Postcard,"Night view of Gatlinburg, Tennessee showing Mount LeConte in the background. At the entrance to the Great Smoky Mountains National Park fabulous Gatlinburg has become the leading resort town of the area. This view was made from the top of the Skylift.",1963,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),"Le Conte, Mount (Tenn.)",,Gatlinburg,Mount Le Conte,,,,,,Tourism,,,,,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000002_0001,0012_003786_000002_0002,,"Air View of Gatlinburg, Tennessee at the Entrance to the Great Smoky Mountains National Park (GS-219)",Unused Postcard,"Air view of Gatlinburg, Tennessee at the entrance to the Great Smoky Mountains National Park. Nestled in a valley surrounded by The Great Smokies, Gatlinburg has become the main entrance to the National Park.  With many fine Hotels, Motor Courts, and Restaurants, Gatlinburg affords the visitor the finest in Resort atmosphere.",1962,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Gene Aiken,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Hotels,Tourism,,,Hotels,Tourism,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000003_0001,0012_003786_000003_0002,,"Air View of Gatlinburg, Tennessee at the Entrance to the Great Smoky Mountains National Park (GS-217)",Unused Postcard,"Air view of Gatlinburg, Tennessee at the entrance to the Great Smoky Mountains National Park. Nestled in a valley surrounded by The Great Smokies, Gatlinburg has become the main entrance to the National Park.  With many fine Hotels, Motor Courts, and Restaurants, Gatlinburg affords the visitor the finest in Resort atmosphere.",1962,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Gene Aiken,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Hotels,Tourism,,,Hotels,Tourism,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000004_0001,0012_003786_000004_0002,,"Air View of Gatlinburg, Tennessee at the Entrance to the Great Smoky Mountains National Park (GS-220)",Unused Postcard,"Air view of Gatlinburg, Tennessee at the entrance to the Great Smoky Mountains National Park. Nestled in a valley surrounded by The Great Smokies, Gatlinburg has become the main entrance to the National Park.  With many fine Hotels, Motor Courts, and Restaurants, Gatlinburg affords the visitor the finest in Resort atmosphere.",1962,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Gene Aiken,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Hotels,Tourism,,,Hotels,Tourism,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000005_0001,0012_003786_000005_0002,,"View of Gatlinburg, Tenn., at the Entrance to the Great Smoky Mountains National Park (251)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,Walter Cline,Photographer,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),"Le Conte, Mount (Tenn.)",,Gatlinburg,Mount Le Conte,,,,,,Tourism,,,,,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000006_0001,0012_003786_000006_0002,,"Pi Beta Phi Settlement School Gatlinburg, Tenn. Mt. Le Conte in the Distance (1-1-50)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,,,,,,,,,Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),"Le Conte, Mount (Tenn.)",,Gatlinburg,Mount Le Conte,,,,Pi Beta Phi Fraternity,,Tourism,,,,,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000007_0001,0012_003786_000007_0002,,"Wiley Shop - Gatlinburg, Tenn. (1-1-334)","Unused Postcard with a handwritten note referencing rugs dated September 11, 1949.",,1949,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,,,,,,,,,Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,Mount Le Conte,,,,Wiley Shop,,Tourism,Weaving,,,Tourism,Weaving,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000008_0001,0012_003786_000008_0002,,"396 lb. Bear shot by B.G. Foster - Gatlinburg, Tenn. (1-1-441)",Unused postcard,,Unknown,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,,,,,,,,,Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,Black bears,Hunting,,Tourism,Black bears,Mountain life -- Hunting,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
,,,0012_003786_000009_0001,0012_003786_000009_0002,,"The Gatlinburg Street Car-Gatlinburg, Tenn. (1-1-189)","Postcard with a handwritten note sent to Mrs. J.W. Douglas in Dallas, Texas on June 7, 1949 for a postage of 1 cent.",,1949,Ridley Wills Postcard Collection,3781,,,postcards,eng-English,W. M. Cline Co.,Creator,,,,,W. M. Cline Co.,Chattanooga (Tenn.),Great Smoky Mountains (N.C. and Tenn.),Gatlinburg (Tenn.),,,Gatlinburg,,,,,,,Tourism,,,,Tourism,,,,Postcards from the Great Smoky Mountains,"University of Tennessee, Knoxville. Special Collections",May be protected by copyright. For more information contact Special Collections at special@utk.edu.,
